,tweet_id,sentiment,content
2257,1957504642,positive,day summervac & school come 2 end & annual problem r generation find good way 2 spend
2261,1957505194,positive,ai nt uk fan fav people
2262,1957505533,positive,haha ! nice ! fun doll ! hopefully I will ya soon ! miss ur face
2264,1957506331,positive,I be go try sleep work 9 tomorrow   weekend start ! ! ! !
2270,1957508197,positive,yummy chocolate cake .. wish get b woulday ! !    anybody listen
2283,1957510247,positive,can not sleep
2295,1957513178,positive,get cable set up ! win !   get lock door ! win ! feeling tad neglect ... fail
2300,1957514387,positive,ill alright whip
2302,1957514633,positive,ca nt afford   school ?
2304,1957515026,positive,joy feel like red lea
2312,1957516839,positive,o'clock can not come fast
2325,1957519801,positive,"wow , away 4 while ... stupid lap shop ... still     hope"
2328,1957520247,positive,plan road trip san diego- detour vegas celebrate birthday ! bad it be 7 wks away   want
2334,1957520723,positive,need friggin camera cleand asap
2335,1957521136,positive,lucky kid ... I wanna loserville   pity I m oz
2337,1957521826,positive,"aw name car , that be sweet . I be sorry hear petey go , hope find posh rollerskate"
2361,1957528037,positive,oh gosh ! hair short ! miss long hair
2389,1957533499,positive,""" bless you "" sneeze cat"
2390,1957533699,positive,"work    leave berlin 17:00 car , late arrival"
2418,1957538998,positive,3breakupwords change
2426,1957541294,positive,"grr . allow gas grill live , suck"
2437,1957543560,positive,what be wrong people ? second break - in wallman tonight
2443,1957545936,positive,oh poor   atleast pay stay
2445,1957546032,positive,"here ! get 2jobs & a degree , damn car die   feel shitty bout havin car"
2466,1957551636,positive,haha love surprise ! do not work til sunday tho wait
2479,1957553875,positive,wtf pog
2508,1957560911,positive,"do not think say true , rant mcfly , ca nt belive   feel ashamed"
2510,1957561232,positive,"yea dude ... 5'8 "" !"
2521,1957563194,positive,"do not fun club tonight , lot mind"
2540,1957566708,positive,nooooooooo get pyjama
2541,1957566751,positive,"bubble tea awesome , it be long I have"
2570,1957574479,positive,lovely summery morning ! shame work
2585,1957578856,positive,sun
2603,1957583820,positive,"can not believe wait till october "" up ! "" american weekend"
2606,1957584375,positive,yoyo door nazi refuse entry account i d   gutte ! hear good night tho .. time I will come prepared
2613,1957586187,positive,"wow year today luc bourdon kill , do not long ago"
2621,1957587933,positive,
2650,1957594049,positive,think winter . turn winter start
2662,1957596519,positive,"head poole 4ish ,   gardening go , tweetdeck til sunday evening"
2682,1957602228,positive,"I be say goodbye sydney day , hello rapeville .... I will miss pretty"
2684,1957602666,positive,ah huge fan get middle night change peed sheet underpant
2726,1957613292,positive,"good morning you !   wait , evening .   day work weekend"
2735,1957616075,positive,huh ? 1 already ? shuck
2756,1957619821,positive,arghhh ... my korean dvd can not see .. I need laugh
2764,1957621719,positive,be not right now . need more . sorry
2767,1957622502,positive,great curl - up - in - a - ball - and - read later . wish book
2768,1957623473,positive,"ahhhhh , fall asleep here , way I will able survive liverpool    although , can not wait nan be food"
2809,1957632870,positive,bro
2812,1957633056,positive,letter - car insurance - ouch
2823,1957635726,positive,haha balcony seat   great . there be giant dragon thing glow red eye move wing
2844,1957638599,positive,can not believe fast week go
2851,1957639561,positive,set room saturday ! can not apologise miss deccy
2852,1957639612,positive,what s today .. ? miss coffeeclub day
2854,1957639945,positive,wanna jona brother concert
2861,1957640813,positive,nah I m poope move 2day I m lay relax   lol
2869,1957642332,positive,really ? cuz kc.com say releasd 24/4 n main station do not hav
2882,1957646733,positive,I be miss crab leg attend go away instead
2893,1957648828,positive,wat u doin bad I m mixin song
2898,1957650050,positive,can not white sox player @ random bar to .. cub player   waaah
2906,1957652644,positive,"' erocka ruler ' call you , get love    what s"
2912,1957653814,positive,wednesday ? joke I ? soon ? ? ?   when be partaaaaaaay
2919,1957655552,positive,"old house again .   thank net keep alive kicking ! invent net , wanna kiss hair"
2945,1957660915,positive,feel like age away ! 5 month
2958,1957663990,positive,dooood ! work ! tea time later ? work tonight
2960,1957664223,positive,awesome ! it .   stupid theatre do not pixar short film
2968,1957666234,positive,sleep ... would have home soon accidentally kill bambi way home
2970,1957666939,positive,wake sun ! start rain
2980,1957669715,positive,"uuu , din nou pr 4 . yeey , epeni big ! ... ..."
2991,1957672698,positive,"tron oh god , tire"
3002,1957674594,positive,book appointment blood 18:20pm 2nd june ! scare
3015,1957677153,positive,"get dressed granny be , another day twit"
3024,1957678866,positive,"you be miss out , bb ! I be cereal nut , think like kind available"
3026,1957679052,positive,reach plate bit toast realise I d eat   nice feeling
3027,1957679152,positive,good back ! it be late got scare people I be pleased tired
3033,1957681147,positive,geez u obvious
3034,1957681220,positive,mess back / hip . hurt bad
3036,1957681370,positive,early
3040,1957682388,positive,serious ! ? bloooooow
3044,1957685654,positive,go bed ... go korea tomorrow
3046,1957685970,positive,want lasagna tooooooo
3073,1957693735,positive,u do not hit
3076,1957694469,positive,"hansen darn - realise "" pull one "" * far * well response suggestion"
3082,1957696425,positive,can not believe gig poster little civic take
3088,1957697894,positive,can not believe
3095,1957699183,positive,jealous football club go portugal tour today . they be play sport lisbon veteran
3128,1957708223,positive,company offer 2nd round vss rif
3143,1957712124,positive,cancel subscription today nzz economist office   costsaving luckily online version
3144,1957712225,positive,a tx lol have nt watch yet ..   congrat
3151,1957713326,positive,- marshmellow + muffin = fail   bubble evaporate leave big hole ! heh taste alri
3165,1957717288,positive,wish getting pancake   booooooooo
3169,1957718335,positive,"time get grizzly peak camera capture sea fog above , engulf"
3171,1957719408,positive,ucler ! ! ! get 2 big one mouth
3188,1957724705,positive,look photo inspiration . want require space
3189,1957724733,positive,horrible appraise peer work . american think compose poem ? maybe problem
3197,1957726484,positive,morning all .... beautiful day ... good enjoy sunshine work ... unfortunately
3203,1957727546,positive,can not believe go get boba
3208,1957728058,positive,sigh
3219,1957729727,positive,"ahh see drop , tossed thinking turn"
3220,1957730135,positive,"hey , change twitter account , do not tell"
3235,1957734941,positive,wait prince protection program online english version   long
3240,1957736515,positive,"oh , joy . elmo potty video"
3244,1957737436,positive,lawrence forget morning ? nearly run hill !   warm shop ! x
3247,1957738636,positive,want
3260,1957741318,positive,te night ? tweet slow   let know ur I will follow u
3265,1957742079,positive,awake
3268,1957742696,positive,leather shoe bag hard resist
3273,1957743491,positive,see . lol . I will fun follow tomorrow ... I bed
3280,1957744492,positive,want play parachute game
3288,1957745839,positive,endlessly fascinated dual engine monitor cab . remind sustainability fail . sorry gen
3322,1957754460,positive,beautiful day ! go edit lisa maxwell interview day bill now . shame can not laptop screen outside
3332,1957757593,positive,"I have totally mia , know   bad"
3338,1957759412,positive,omg . cat hairball . awake
3345,1957759748,positive,omigoodness feel like popsicle
3378,1958034904,positive,oh
3383,1958036042,positive,hmm .... well ai nt hot hull lol    xx
3385,1958036297,positive,I m go work
3391,1958037565,positive,"find kitty be not pregnant   good thing though , go adopt instead"
3431,1958046629,positive,addiction talk brother lady .... I break could nt help cry
3435,1958047987,positive,damjust finish watch prison break : final break ... omg do nt think I have cry hard show .. finally understand finale
3445,1958049507,positive,have have tell thing hard .. I
3452,1958050864,positive,"omg , it be july be day"
3456,1958051442,positive,work home   wifi reach garden
3467,1958053263,positive,"omg , it be july be day !   @ muchachomalo"
3473,1958054940,positive,goin 2 eat smack 4 breakfast getting start day- catch ya flipside- wish cud mobile - dang bahrain
3479,1958056577,positive,what ! that be horrible ! purposely write bunny mean & cruel !     mention plain tacky
3482,1958057287,positive,oh no ! woke accidentally .   fall asleep ? scare p2 p3 story ? jk
3514,1958065074,positive,miss justin timberlake be voice . want new album
3526,1958067040,positive,getting stress sortie tomorrow . like stress
3529,1958067252,positive,sadly   brother tell skatepark life . bummer
3552,1958073482,positive,ahhh jealous !   nice time I will x
3553,1958073636,positive,do not understand follow friday thing
3559,1958074577,positive,"I be look forward work 8 day ! come sunday , dead"
3563,1958075261,positive,early
3566,1958075512,positive,nope sweatshirt .   oh awesome doughnut haha
3585,1958081239,positive,sun go
3592,1958082492,positive,"hate fact nice outsidee , I m inside revisionn"
3595,1958083092,positive,feel hungry    cook pleaseyour food it be energy work~
3599,1958083743,positive,"yup , 1987 lol . sweet year   haha"
3603,1958085882,positive,got refuse bottle morgan be tesco despite say helen verify age ...   shocking ... leave shopping ! x
3608,1958086773,positive,brit wait day it !   think gon na release once ! guess it be worth wait
3634,1958092285,positive,like night man . somebody do not time 30p loo
3642,1958093165,positive,"trivium ? work , computer"
3643,1958093437,positive,I ve finish 4th year ! ! ! argh uni go soooooo quick
3648,1958094323,positive,"acquire cento live cd , memory stick , like boot that . wonder leave home"
3656,1958096366,positive,it be consolation I have abandon garden thank super - reflective laptop screen
3670,1958099201,positive,learn tat scenic way   din plan town herd
3671,1958099853,positive,saurus oh . hrmmm case idea . realise you be talk bike ! solly
3675,1958100476,positive,hope ... georgia wide awake hiccup
3688,1958103630,positive,home sweet home ? think no ! huaaaa
3704,1958107692,positive,omg gross out .   relay tonight
3713,1958109277,positive,tweeeeeet ! good morning twitterland ! go work 1 need packing clean flat ! t minus day
3718,1958110078,positive,aw   * hug * sorry man .   rich I would buy u ticket
3746,1958116578,positive,fight sore throat .. day hard training rest week sunday race .. oooohhh sun be out ... nope .. go
3751,1958117297,positive,yay cheerleading I m sick . gon na fun   night people
3754,1958118652,positive,hair cut look like shit
3762,1958119561,positive,yay ! power = on ! phone = charge . it be hot
3767,1958120056,positive,oh . playable joker ps3 exclusivity arkham asylum big thought
3775,1958121021,positive,think fanta
3788,1958123125,positive,job ? ? ? ? ? ? ?
3789,1958123187,positive,"yeah , prefer tweetdeck multiple account"
3816,1958128181,positive,": hi , there ! I be sorry tell   let be meet up !   meirizka too . promise treat we ! xd"
3831,1958132657,positive,showtime osaka .   night japan   miss youuuu
3842,1958134970,positive,ticket
3847,1958135352,positive,ugh rude
3910,1960137875,positive,"follow people around , many .. webdesign twitter"
3930,1960143909,positive,"can not buy nokia n97 ? ! ? amazon say "" can not ship address"
3943,1960146895,positive,"sell , hit cash take tax tip . drawer end 5 dollar short   idk cause"
3976,1960154693,positive,"it be friday sun shine warm already , walk dog , freaky   hyper"
3987,1960158324,positive,fail .     fancy pit stop cuppa know be !   lol
3991,1960159686,positive,"duuuude , tim say they be make red vs blue animated series ! it will adult swim g4 . hope as , coz do not g4"
3998,1960161966,positive,ulcer musical ! it be ulcer - rific ! uls - tacular ? ! stomach bleed fun family ! ! ( apparently drink
4002,1960163033,positive,"no ! tv be bust   screen turn white nanosecond quick "" popping "" sound"
4005,1960164604,positive,enjoy explore n96 phone .. grr .. it be awesome .. want samsung omnia
4022,1960168536,positive,"gal course ! * cough * mean , no , 1.5 hour extra testing debug time"
4024,1960168925,positive,dev.java.net : slow website
4025,1960169021,positive,bahah . but .... nick
4027,1960169489,positive,mitchell I have opera before ... do not think
4030,1960170610,positive,headache already ?   boo
4048,1960194630,positive,baby vet today
4059,1960198264,positive,know ... joke ... good fun ...   people humor & do not
4072,1960200977,positive,sore throat . that be suck
4074,1960202183,positive,attend cic be parent ' orientation tomorrow ... need wake early
4081,1960203357,positive,I be make logo photoshop & do not work out ..   hehe .. try lah
4085,1960204273,positive,- finito~ ! hunk ah hunk burning love ! believe camera phone stuff . stupid blurryness
4096,1960206854,positive,it be rain
4097,1960206931,positive,"miff discover de la soul be "" stake high "" cassette ! itune / amazon do not sell digital copy"
4100,1960207689,positive,good stuff
4138,1960218381,positive,think you would want follow
4157,1960256837,positive,go work .   use happy pill
4160,1960257337,positive,remember tmrw day hopefully will not craptastic . sorry girrrrl
4170,1960259597,positive,dubai ! ! ! try settle
4173,1960260363,positive,"ready busy , fun day tomorrow ! get ta busy lover go"
4175,1960260704,positive,
4176,1960260812,positive,want camera
4185,1960262431,positive,know hot twitter work
4187,1960263190,positive,go chiro wrong bum ankle
4202,1960267054,positive,but ... but ... I be
4242,1960299035,positive,"travel trade stalwart , david steele city cruise mark retirement thame cruise party tonight - press day mean miss"
4259,1960304029,positive,"ooo .... sound great ! hope weather stay nice .   re : hot water bottle , think bad leak"
4264,1960305139,positive,job hunting . yay
4285,1960310907,positive,last.fm want money listen radio
4341,1960327891,positive,dammm .. I think   lollllll
4353,1960330134,positive,that s disappointing hear
4359,1960331302,positive,celebrity sighting : spongebob here ! bea09    lol ! I be distraught miss
4361,1960335223,positive,definitely grass cut    cole commit stack wood neighbor well . past 2 day set far
4372,1960338579,positive,"move half , balcony anymore   get great mini - herb garden window sill though !"
4379,1960339940,positive,"unfortunately , that be usually go .   answer yesterday ... I be okay . thing look up . miss talk"
4381,1960340051,positive,"ca nt bothered go work tonigh , nice stick inside"
4382,1960340146,positive,watch point . hd stace want hd wait
4387,1960341449,positive,spend lot   money new boiler ... great ! ! ! lucky hey
4411,1960352040,positive,that be actually far truth
4413,1960352628,positive,I be party tonight
4416,1960353321,positive,"1210 holy crap , need that ! bad get ta wait tomorrow"
4451,1960382512,positive,gutte - handbag want sell
4454,1960383371,positive,"woman , do not know come home   suck ! ! ! go"
4464,1960385436,positive,need buy bluetooth device machine
4466,1960385744,positive,jbs love secret !   ' oooooh
4475,1960387680,positive,lmao ! good push bra make ab look small . order robbikin - esque abs .. 6 day week work
4477,1960387788,positive,wake sound neighbor get new roof
4503,1960419284,positive,ready weekend ! hope sun come later today tho .   u
4509,1960421281,positive,"be nt follow I , ca nt send dm"
4539,1960431364,positive,see listing saw wednesday
4540,1960431374,positive,"whoa man , great one . go heaven 5 second . u know lah pls shhh . lol . sorry u be not"
4541,1960431729,positive,.... lili homie ... lili .... black   75 % exact lol
4567,1960445254,positive,"find couple week ago .     spazze pull out , life normal , lol"
4636,1960459566,positive,good morning . it be friday start work week   but ... laker go 4th w tonight . woohoo laker
4646,1960461639,positive,tsk baddie . imissmonkeh today
4652,1960464921,positive,spend day put trampoline tired use it ...   cool
4653,1960465215,positive,"jake thoma look precious :'( hate "" there white light "" ghost whisperer"
4667,1960467838,positive,"um ... no   likely inside lot , maybe skirt work"
4676,1960469576,positive,hahaha tempting ! nvm la . I be klutz .   actually fare well hp cam lol
4679,1960470367,positive,damnation . wake
4682,1960470707,positive,"barely 4 hrs sleep lord bless feel like 8 , come sore throat   pumpin paper"
4687,1960471845,positive,u watch spell bee contest ? winner : kavya shivshankar ! impressive performance - hear word b4
4692,1960472412,positive,ayy .   okayyy . nice see kanina ! :> like hair . :>
4697,1960472950,positive,"load washing away , load on . amazing house do not look well effort"
4701,1960473783,positive,"yeah man love blowjobs "" -something want hear grandma breakfast talkin charle barkley"
4706,1960489578,positive,hot outside ...   thank goodness car amazing a.c ! ! ! cyalater ! ! ! work
4711,1960489983,positive,say ptour2 tom .   hello school again . shit !
4726,1960493118,positive,try win ticket ! com'on dc101
4756,1960499717,positive,tip 2 : sure bottle securely tightly
4786,1960511157,positive,oh man sell   step away desk 10 min !   right
4789,1960512131,positive,"read that , think cast < t > ( ) status symbol"
4790,1960512487,positive,"artillero hahaha . sana someone be sell version "" code workshop photo recovery wizard "" cd ! demo mode lang eh"
4791,1960512637,positive,"find friend , use talk time disappear block flickr"
4815,1960518960,positive,hear bird chirp make think nice outside ... well   rain rain away
4829,1960528762,positive,"haha ! can not good vid tubey , you thugh"
4842,1960533254,positive,feel like take day afford   look forward dfb cup final tmrw night though . werder
4853,1960535192,positive,office .   fire alarm go burn food microwave
4856,1960535809,positive,unreall
4861,1960536987,positive,"twitter seriously , seriously drop ball roxieravenclaw account . I be mad sad"
4876,1960540143,positive,it be 11:05 I be lunch break
4883,1960542817,positive,I m dogsitte friend house cleaning lady come morning . tell look like 18 .   man . grow younge
4901,1960554443,positive,"tom !   wonder you would tour asia , specifically philippine . chance soon"
4903,1960554951,positive,argh . interested . time maybe can not go . maybe
4913,1960558019,positive,devil say !   I have wait black widow movie will not awesome
4935,1960562891,positive,damn ! mass unfollowing do nt invite ! I m bum
4942,1960565313,positive,"hey , beatweetup badge require tonight ? realize leave home"
4987,1960580011,positive,wait estate agent valuation . oh joy . * sigh * need funhouse   pink baby come
5013,1960586751,positive,"wow , emc be new site - different"
5017,1960589008,positive,omg ! ! tragic
